Player		 Dealer	 Stand	 Hit	 Double	 Split	
3 7 		2	-0.2835	0.2106	0.3774	 None 	
3 7 		3	-0.2229	0.2088	0.4482	 None 	
3 7 		4	-0.2109	0.2196	0.4638	 None 	
3 7 		5	-0.1545	0.2613	0.5107	 None 	
3 7 		6	-0.1647	0.2898	0.6067	 None 	
3 7 		7	-0.4683	0.2715	0.4278	 None 	
3 7 		8	-0.5188	0.1902	0.3270	 None 	
3 7 		9	-0.5404	0.1272	0.1302	 None 	
3 7 		10	-0.5722	-0.0402	-0.1938	 None 	
3 7 		A	-0.7636	-0.2352	-0.5941	 None 	
3 8 		2	-0.2913	0.2322	0.4632	 None 	
3 8 		3	-0.1995	0.2832	0.5629	 None 	
3 8 		4	-0.2067	0.2883	0.5659	 None 	
3 8 		5	-0.1563	0.3264	0.6517	 None 	
3 8 		6	-0.1485	0.3297	0.7165	 None 	
3 8 		7	-0.4659	0.3195	0.4812	 None 	
3 8 		8	-0.5194	0.2160	0.3708	 None 	
3 8 		9	-0.5344	0.1467	0.2778	 None 	
3 8 		10	-0.5638	0.0237	0.0288	 None 	
3 8 		A	-0.7594	-0.1932	-0.5269	 None 	
3 9 		2	-0.2889	-0.2634	 None 	 None 	
3 9 		3	-0.2433	-0.2298	 None 	 None 	
3 9 		4	-0.1977	-0.2235	 None 	 None 	
3 9 		5	-0.1617	-0.1617	 None 	 None 	
3 9 		6	-0.1527	-0.1410	 None 	 None 	
3 9 		7	-0.5038	-0.2346	 None 	 None 	
3 9 		8	-0.4959	-0.2814	 None 	 None 	
3 9 		9	-0.5248	-0.3276	 None 	 None 	
3 9 		10	-0.5770	-0.4314	 None 	 None 	
3 9 		A	-0.7684	-0.5581	 None 	 None 	
3 10 		2	-0.3069	-0.3273	 None 	 None 	
3 10 		3	-0.2601	-0.2871	 None 	 None 	
3 10 		4	-0.2289	-0.2856	 None 	 None 	
3 10 		5	-0.1713	-0.2748	 None 	 None 	
