Player		 Dealer	 Stand	 Hit	 Double	 Split	
5 5 		A	997	998	994	994	
5 6 		2	997	1001	998	None	
5 6 		3	999	1000	1002	None	
5 6 		4	999	999	1000	None	
5 6 		5	999	1001	1006	None	
5 6 		6	999	1002	998	None	
5 6 		7	999	1003	1002	None	
5 6 		8	997	1002	1002	None	
5 6 		9	1001	1001	1002	None	
5 6 		10	997	997	994	None	
5 6 		A	997	997	998	None	
5 7 		2	999	999	None	None	
5 7 		3	999	999	None	None	
5 7 		4	999	999	None	None	
5 7 		5	1001	999	None	None	
5 7 		6	997	999	None	None	
5 7 		7	997	999	None	None	
5 7 		8	999	999	None	None	
5 7 		9	999	1000	None	None	
5 7 		10	997	997	None	None	
5 7 		A	997	998	None	None	
5 8 		2	997	997	None	None	
5 8 		3	999	997	None	None	
5 8 		4	997	997	None	None	
5 8 		5	1001	999	None	None	
5 8 		6	1003	1003	None	None	
5 8 		7	1003	1001	None	None	
5 8 		8	999	999	None	None	
5 8 		9	1001	1000	None	None	
5 8 		10	997	999	None	None	
5 8 		A	997	997	None	None	
5 9 		2	997	1000	None	None	
5 9 		3	999	997	None	None	
5 9 		4	999	1001	None	None	
5 9 		5	997	998	None	None	
5 9 		6	999	1003	None	None	
5 9 		7	1001	999	None	None	
5 9 		8	997	997	None	None	
5 9 		9	997	998	None	None	
5 9 		10	999	998	None	None	
5 9 		A	997	998	None	None	
5 10 		2	999	997	None	None	
5 10 		3	997	997	None	None	
5 10 		4	1003	1001	None	None	
5 10 		5	999	999	None	None	
5 10 		6	1003	999	None	None	
5 10 		7	999	1001	None	None	
5 10 		8	997	997	None	None	
5 10 		9	999	999	None	None	
5 10 		10	997	997	None	None	
5 10 		A	997	997	None	None	
5 A 		2	999	1001	None	None	
5 A 		3	999	999	None	None	
5 A 		4	999	999	None	None	
5 A 		5	1003	1003	None	None	
5 A 		6	997	1001	None	None	
5 A 		7	999	999	None	None	
5 A 		8	1001	1001	None	None	
5 A 		9	997	1001	None	None	
5 A 		10	997	997	None	None	
5 A 		A	997	999	None	None	
6 2 		2	1001	1003	None	None	
6 2 		3	999	1000	None	None	
6 2 		4	997	998	None	None	
6 2 		5	999	999	None	None	
6 2 		6	999	1001	None	None	
6 2 		7	1001	1001	None	None	
6 2 		8	997	998	None	None	
6 2 		9	997	999	None	None	
6 2 		10	997	999	None	None	
6 2 		A	997	999	None	None	
6 3 		2	1003	1003	1006	None	
6 3 		3	999	999	1000	None	
6 3 		4	1003	1003	1006	None	
6 3 		5	1001	1003	1002	None	
6 3 		6	999	999	998	None	
6 3 		7	999	1002	1002	None	
6 3 		8	999	1000	1000	None	
6 3 		9	997	1002	996	None	
6 3 		10	997	997	994	None	
6 3 		A	997	999	994	None	
6 4 		2	999	999	998	None	
6 4 		3	997	999	994	None	
6 4 		4	1003	1003	1006	None	
6 4 		5	1003	1003	1006	None	
6 4 		6	999	1003	1002	None	
6 4 		7	1001	1001	1002	None	
6 4 		8	999	1003	998	None	
6 4 		9	997	1000	998	None	
6 4 		10	997	1000	996	None	
6 4 		A	999	1001	1002	None	
6 5 		2	999	999	1002	None	
6 5 		3	1001	1001	1006	None	
6 5 		4	997	999	994	None	
6 5 		5	999	1001	1002	None	
6 5 		6	1001	1003	1006	None	
6 5 		7	997	998	1000	None	
6 5 		8	997	1000	994	None	
6 5 		9	997	997	1002	None	
6 5 		10	997	1003	1004	None	
6 5 		A	997	1001	998	None	
6 6 		2	1001	1002	None	1002	
6 6 		3	1001	999	None	1002	
6 6 		4	999	1000	None	998	
6 6 		5	997	1001	None	996	
6 6 		6	997	999	None	995	
6 6 		7	997	998	None	998	
6 6 		8	1001	999	None	998	
6 6 		9	997	997	None	1002	
6 6 		10	997	999	None	997	
6 6 		A	997	999	None	997	
6 7 		2	997	997	None	None	
6 7 		3	999	1000	None	None	
6 7 		4	997	1001	None	None	
6 7 		5	999	999	None	None	
6 7 		6	999	997	None	None	
6 7 		7	999	999	None	None	
6 7 		8	999	999	None	None	
6 7 		9	1001	998	None	None	
6 7 		10	1001	1001	None	None	
6 7 		A	997	997	None	None	
6 8 		2	997	997	None	None	
6 8 		3	1001	1001	None	None	
6 8 		4	999	1000	None	None	
6 8 		5	1001	1001	None	None	
6 8 		6	1001	1003	None	None	
6 8 		7	999	999	None	None	
6 8 		8	997	997	None	None	
6 8 		9	997	999	None	None	
6 8 		10	997	998	None	None	
6 8 		A	997	997	None	None	
6 9 		2	997	997	None	None	
6 9 		3	999	997	None	None	
6 9 		4	999	999	None	None	
6 9 		5	999	997	None	None	
6 9 		6	999	997	None	None	
6 9 		7	999	1001	None	None	
6 9 		8	1001	1001	None	None	
6 9 		9	997	997	None	None	
6 9 		10	999	998	None	None	
6 9 		A	997	999	None	None	
6 10 		2	999	999	None	None	
6 10 		3	1001	997	None	None	
6 10 		4	1001	997	None	None	
6 10 		5	1003	1003	None	None	
6 10 		6	999	997	None	None	
6 10 		7	999	999	None	None	
6 10 		8	999	999	None	None	
6 10 		9	999	999	None	None	
6 10 		10	997	999	None	None	
6 10 		A	997	997	None	None	
6 A 		2	999	999	None	None	
6 A 		3	997	997	None	None	
6 A 		4	998	999	None	None	
6 A 		5	999	999	None	None	
6 A 		6	999	999	None	None	
6 A 		7	1000	999	None	None	
6 A 		8	997	998	None	None	
6 A 		9	997	999	None	None	
6 A 		10	997	1001	None	None	
6 A 		A	999	1001	None	None	
7 2 		2	1001	999	1002	None	
7 2 		3	997	997	994	None	
7 2 		4	1001	1001	1002	None	
7 2 		5	999	1002	998	None	
7 2 		6	997	999	994	None	
7 2 		7	997	1003	994	None	
7 2 		8	999	1003	998	None	
7 2 		9	997	999	1000	None	
7 2 		10	999	999	1000	None	
7 2 		A	997	997	994	None	
7 3 		2	1001	1001	1006	None	
7 3 		3	999	1001	1000	None	
7 3 		4	1001	1001	1004	None	
7 3 		5	999	1002	998	None	
7 3 		6	999	1001	998	None	
7 3 		7	997	998	1000	None	
7 3 		8	997	1001	1000	None	
7 3 		9	999	999	998	None	
7 3 		10	997	1000	996	None	
7 3 		A	997	1000	996	None	
7 4 		2	999	1001	1002	None	
7 4 		3	997	1001	1002	None	
7 4 		4	999	1001	998	None	
7 4 		5	999	1001	1002	None	
7 4 		6	999	1001	998	None	
7 4 		7	999	1001	1004	None	
7 4 		8	1003	1003	1006	None	
7 4 		9	997	998	998	None	
7 4 		10	999	1000	1002	None	
7 4 		A	999	997	1002	None	
7 5 		2	999	999	None	None	
7 5 		3	1001	999	None	None	
7 5 		4	997	999	None	None	
7 5 		5	1001	1001	None	None	
7 5 		6	1001	1000	None	None	
7 5 		7	999	998	None	None	
7 5 		8	997	1001	None	None	
7 5 		9	999	998	None	None	
7 5 		10	999	999	None	None	
7 5 		A	997	998	None	None	
7 6 		2	999	1002	None	None	
7 6 		3	999	1001	None	None	
7 6 		4	999	997	None	None	
7 6 		5	999	997	None	None	
7 6 		6	999	997	None	None	
7 6 		7	999	1000	None	None	
7 6 		8	999	999	None	None	
7 6 		9	999	999	None	None	
7 6 		10	999	998	None	None	
7 6 		A	997	1000	None	None	
7 7 		2	999	1001	None	999	
7 7 		3	999	999	None	1000	
7 7 		4	999	1001	None	1001	
7 7 		5	999	999	None	998	
7 7 		6	999	997	None	1000	
7 7 		7	997	999	None	998	
7 7 		8	997	999	None	998	
7 7 		9	997	1001	None	1000	
7 7 		10	997	997	None	997	
7 7 		A	997	1000	None	995	
7 8 		2	1001	1001	None	None	
7 8 		3	1001	1001	None	None	
7 8 		4	997	997	None	None	
7 8 		5	997	998	None	None	
7 8 		6	1003	1001	None	None	
7 8 		7	999	997	None	None	
7 8 		8	997	999	None	None	
7 8 		9	997	1003	None	None	
7 8 		10	997	999	None	None	
7 8 		A	997	997	None	None	
7 9 		2	999	999	None	None	
7 9 		3	997	1001	None	None	
7 9 		4	999	997	None	None	
7 9 		5	999	999	None	None	
7 9 		6	999	997	None	None	
7 9 		7	999	999	None	None	
7 9 		8	999	997	None	None	
7 9 		9	1001	998	None	None	
7 9 		10	999	997	None	None	
7 9 		A	997	998	None	None	
7 10 		2	999	999	None	None	
7 10 		3	998	999	None	None	
7 10 		4	1001	1003	None	None	
7 10 		5	999	997	None	None	
7 10 		6	1000	999	None	None	
7 10 		7	998	999	None	None	
7 10 		8	997	997	None	None	
7 10 		9	999	997	None	None	
7 10 		10	997	999	None	None	
7 10 		A	999	999	None	None	
7 A 		2	1001	999	None	None	
7 A 		3	999	999	None	None	
7 A 		4	1001	999	None	None	
7 A 		5	1003	1001	None	None	
7 A 		6	999	999	None	None	
7 A 		7	1003	997	None	None	
7 A 		8	1003	1002	None	None	
7 A 		9	1001	999	None	None	
7 A 		10	997	1000	None	None	
7 A 		A	999	1000	None	None	
8 2 		2	1001	1001	1006	None	
8 2 		3	999	1001	1000	None	
8 2 		4	1001	1003	1002	None	
8 2 		5	1003	1003	1006	None	
8 2 		6	999	1001	998	None	
8 2 		7	997	1002	1006	None	
8 2 		8	999	1002	998	None	
8 2 		9	997	1001	1000	None	
8 2 		10	997	999	996	None	
8 2 		A	997	997	998	None	
8 3 		2	997	1000	994	None	
8 3 		3	997	997	996	None	
8 3 		4	999	999	1002	None	
8 3 		5	999	999	1002	None	
8 3 		6	999	999	1002	None	
8 3 		7	1001	1001	1002	None	
8 3 		8	997	1001	998	None	
8 3 		9	997	999	1000	None	
8 3 		10	1003	1001	1006	None	
8 3 		A	999	999	1002	None	
8 4 		2	999	999	None	None	
8 4 		3	999	997	None	None	
8 4 		4	1001	1001	None	None	
8 4 		5	1003	1003	None	None	
8 4 		6	999	999	None	None	
8 4 		7	999	1001	None	None	
8 4 		8	1003	1001	None	None	
8 4 		9	997	998	None	None	
8 4 		10	999	1001	None	None	
8 4 		A	997	997	None	None	
8 5 		2	1001	1003	None	None	
8 5 		3	997	1001	None	None	
8 5 		4	999	999	None	None	
8 5 		5	997	999	None	None	
8 5 		6	999	997	None	None	
8 5 		7	1001	1001	None	None	
8 5 		8	999	1000	None	None	
8 5 		9	999	999	None	None	
8 5 		10	997	999	None	None	
8 5 		A	997	999	None	None	
8 6 		2	999	998	None	None	
8 6 		3	997	997	None	None	
8 6 		4	999	999	None	None	
8 6 		5	999	998	None	None	
8 6 		6	997	997	None	None	
8 6 		7	997	998	None	None	
8 6 		8	997	997	None	None	
8 6 		9	997	999	None	None	
8 6 		10	999	997	None	None	
8 6 		A	999	999	None	None	
8 7 		2	999	997	None	None	
8 7 		3	997	998	None	None	
8 7 		4	999	997	None	None	
8 7 		5	1001	997	None	None	
8 7 		6	999	999	None	None	
8 7 		7	997	998	None	None	
8 7 		8	997	999	None	None	
8 7 		9	997	1001	None	None	
8 7 		10	997	998	None	None	
8 7 		A	1001	1001	None	None	
8 8 		2	1001	1001	None	1006	
8 8 		3	1001	999	None	1002	
8 8 		4	997	997	None	995	
8 8 		5	1001	999	None	1002	
8 8 		6	1001	999	None	1002	
8 8 		7	997	999	None	1000	
8 8 		8	997	997	None	1003	
8 8 		9	997	997	None	996	
8 8 		10	997	997	None	996	
8 8 		A	997	997	None	996	
8 9 		2	998	998	None	None	
8 9 		3	1003	997	None	None	
8 9 		4	1000	999	None	None	
8 9 		5	1001	999	None	None	
8 9 		6	999	997	None	None	
8 9 		7	999	997	None	None	
8 9 		8	1001	997	None	None	
8 9 		9	999	999	None	None	
8 9 		10	998	997	None	None	
8 9 		A	997	997	None	None	
8 10 		2	1000	997	None	None	
8 10 		3	999	999	None	None	
8 10 		4	1002	997	None	None	
8 10 		5	1001	997	None	None	
8 10 		6	1001	999	None	None	
8 10 		7	1003	1001	None	None	
8 10 		8	1000	997	None	None	
8 10 		9	1002	997	None	None	
8 10 		10	999	997	None	None	
8 10 		A	997	997	None	None	
8 A 		2	1002	1000	None	None	
8 A 		3	1003	1003	None	None	
8 A 		4	1003	1003	None	None	
8 A 		5	1003	1001	None	None	
8 A 		6	1003	1003	None	None	
8 A 		7	1003	1002	None	None	
8 A 		8	1001	1001	None	None	
8 A 		9	999	998	None	None	
8 A 		10	998	998	None	None	
8 A 		A	1001	999	None	None	
9 2 		2	1001	1003	1002	None	
9 2 		3	997	999	994	None	
9 2 		4	999	1001	998	None	
9 2 		5	1001	1001	1006	None	
9 2 		6	1003	1003	1006	None	
9 2 		7	1001	999	1006	None	
9 2 		8	997	1000	998	None	
9 2 		9	999	1001	1002	None	
9 2 		10	1001	1003	1002	None	
9 2 		A	997	998	994	None	
9 3 		2	1001	999	None	None	
9 3 		3	999	1000	None	None	
9 3 		4	1001	997	None	None	
9 3 		5	999	999	None	None	
9 3 		6	1001	1001	None	None	
9 3 		7	999	1001	None	None	
9 3 		8	997	998	None	None	
9 3 		9	999	997	None	None	
9 3 		10	997	1000	None	None	
9 3 		A	997	997	None	None	
9 4 		2	997	998	None	None	
9 4 		3	1001	997	None	None	
9 4 		4	997	997	None	None	
9 4 		5	1001	999	None	None	
9 4 		6	997	1000	None	None	
9 4 		7	997	997	None	None	
9 4 		8	997	999	None	None	
9 4 		9	997	1003	None	None	
9 4 		10	999	999	None	None	
9 4 		A	999	1000	None	None	
9 5 		2	1001	997	None	None	
9 5 		3	999	997	None	None	
9 5 		4	999	999	None	None	
9 5 		5	1001	1001	None	None	
9 5 		6	999	997	None	None	
9 5 		7	997	998	None	None	
9 5 		8	999	1003	None	None	
9 5 		9	997	997	None	None	
9 5 		10	999	999	None	None	
9 5 		A	1001	997	None	None	
9 6 		2	1001	997	None	None	
9 6 		3	1001	999	None	None	
9 6 		4	999	999	None	None	
9 6 		5	1001	1001	None	None	
9 6 		6	999	1001	None	None	
9 6 		7	997	997	None	None	
9 6 		8	997	1000	None	None	
9 6 		9	997	997	None	None	
9 6 		10	999	997	None	None	
9 6 		A	997	997	None	None	
9 7 		2	997	997	None	None	
9 7 		3	1001	999	None	None	
9 7 		4	1001	999	None	None	
9 7 		5	999	1001	None	None	
9 7 		6	999	998	None	None	
9 7 		7	999	999	None	None	
9 7 		8	997	998	None	None	
9 7 		9	997	997	None	None	
9 7 		10	999	997	None	None	
9 7 		A	997	997	None	None	
9 8 		2	999	997	None	None	
9 8 		3	998	999	None	None	
9 8 		4	1001	999	None	None	
9 8 		5	1002	999	None	None	
9 8 		6	1000	997	None	None	
9 8 		7	1000	999	None	None	
9 8 		8	999	997	None	None	
9 8 		9	997	997	None	None	
9 8 		10	999	999	None	None	
9 8 		A	998	997	None	None	
9 9 		2	1001	999	None	1001	
9 9 		3	1003	997	None	1000	
9 9 		4	1003	999	None	1006	
9 9 		5	1002	1001	None	1004	
9 9 		6	1001	997	None	1000	
9 9 		7	1001	997	None	996	
9 9 		8	1001	999	None	1002	
9 9 		9	998	999	None	1000	
9 9 		10	997	998	None	996	
9 9 		A	999	998	None	994	
9 10 		2	1000	999	None	None	
9 10 		3	1003	997	None	None	
9 10 		4	1003	999	None	None	
9 10 		5	1000	997	None	None	
9 10 		6	1001	997	None	None	
9 10 		7	1002	997	None	None	
9 10 		8	1001	999	None	None	
9 10 		9	999	998	None	None	
9 10 		10	1000	997	None	None	
