Player		 Dealer	 Stand	 Hit	 Double	 Split	
['A', 5] 		4	996.0	1071.0	None	None	
[2, 6] 		4	978.0	1173.0	None	None	
[3, 6] 		4	1112.0	1340.0	1630.0	None	
[4, 6] 		4	998.0	1417.0	1882.0	None	
[5, 6] 		4	1128.0	1574.0	2062.0	None	
[6, 6] 		4	968.0	826.0	None	967.0	
[7, 6] 		4	1118.0	636.0	None	None	
[8, 6] 		4	896.0	648.0	None	None	
[9, 6] 		4	898.0	534.0	None	None	
[10, 6] 		4	850.0	564.0	None	None	
['A', 6] 		4	1124.0	1198.0	None	None	
[2, 7] 		4	926.0	1201.0	1524.0	None	
[3, 7] 		4	1114.0	1465.0	1988.0	None	
[4, 7] 		4	940.0	1455.0	1864.0	None	
[5, 7] 		4	1122.0	888.0	None	None	
[6, 7] 		4	1120.0	701.0	None	None	
[7, 7] 		4	932.0	568.0	None	1013.0	
[8, 7] 		4	868.0	707.0	None	None	
[9, 7] 		4	816.0	594.0	None	None	
[10, 7] 		4	973.0	483.0	None	None	
['A', 7] 		4	1367.0	1362.0	None	None	
[2, 8] 		4	852.0	1305.0	1628.0	None	
[3, 8] 		4	934.0	1419.0	1826.0	None	
[4, 8] 		4	846.0	742.0	None	None	
[5, 8] 		4	912.0	558.0	None	None	
[6, 8] 		4	850.0	654.0	None	None	
[7, 8] 		4	872.0	682.0	None	None	
[8, 8] 		4	770.0	452.0	None	878.0	
[9, 8] 		4	845.0	440.0	None	None	
[10, 8] 		4	1146.0	484.0	None	None	
['A', 8] 		4	1371.0	1186.0	None	None	
[2, 9] 		4	766.0	1342.0	1546.0	None	
[3, 9] 		4	900.0	715.0	None	None	
[4, 9] 		4	796.0	825.0	None	None	
[5, 9] 		4	962.0	633.0	None	None	
[6, 9] 		4	892.0	522.0	None	None	
[7, 9] 		4	844.0	588.0	None	None	
[8, 9] 		4	917.0	469.0	None	None	
[9, 9] 		4	1162.0	450.0	None	1298.0	
[10, 9] 		4	1382.0	357.0	None	None	
['A', 9] 		4	1703.0	1248.0	None	None	
[2, 10] 		4	788.0	851.0	None	None	
[3, 10] 		4	854.0	778.0	None	None	
[4, 10] 		4	790.0	653.0	None	None	
[5, 10] 		4	882.0	509.0	None	None	
[6, 10] 		4	940.0	644.0	None	None	
[7, 10] 		4	999.0	485.0	None	None	
[8, 10] 		4	1169.0	455.0	None	None	
[9, 10] 		4	1388.0	383.0	None	None	
[10, 10] 		4	1606.0	161.0	None	1515.5	
['A', 10] 		4	2500.0	1375.0	None	None	
[2, 'A'] 		4	844.0	1133.0	None	None	
[3, 'A'] 		4	936.0	1145.0	None	None	
[4, 'A'] 		4	894.0	1065.0	None	None	
[5, 'A'] 		4	976.0	1049.0	None	None	
[6, 'A'] 		4	1118.0	1172.0	None	None	
[7, 'A'] 		4	1320.0	1329.0	None	None	
[8, 'A'] 		4	1371.0	1181.0	None	None	
[9, 'A'] 		4	1644.0	1206.0	None	None	
[10, 'A'] 		4	2500.0	1313.0	None	None	
['A', 'A'] 		4	826.0	1069.0	None	2062.0	
[2, 2] 		5	962.0	962.0	None	924.0	
[3, 2] 		5	1100.0	1100.0	None	None	
[4, 2] 		5	1146.0	1152.0	None	None	
[5, 2] 		5	1040.0	1079.0	None	None	
[6, 2] 		5	1104.0	1286.0	None	None	
[7, 2] 		5	932.0	1241.0	1468.0	None	
[8, 2] 		5	918.0	1366.0	1732.0	None	
[9, 2] 		5	966.0	1428.0	1762.0	None	
[10, 2] 		5	906.0	888.0	None	None	
['A', 2] 		5	1038.0	1276.0	None	None	
[2, 3] 		5	1140.0	1140.0	None	None	
[3, 3] 		5	1022.0	1034.0	None	1044.0	
[4, 3] 		5	1216.0	1298.0	None	None	
[5, 3] 		5	1034.0	1189.0	None	None	
[6, 3] 		5	1142.0	1437.0	1892.0	None	
[7, 3] 		5	944.0	1429.0	1790.0	None	
[8, 3] 		5	972.0	1436.0	1850.0	None	
[9, 3] 		5	968.0	734.0	None	None	
[10, 3] 		5	946.0	787.0	None	None	
['A', 3] 		5	1068.0	1231.0	None	None	
[2, 4] 		5	1190.0	1194.0	None	None	
[3, 4] 		5	1174.0	1241.0	None	None	
[4, 4] 		5	980.0	1198.0	None	960.0	
[5, 4] 		5	1048.0	1355.0	1768.0	None	
[6, 4] 		5	1180.0	1615.0	2260.0	None	
[7, 4] 		5	980.0	1464.0	1946.0	None	
[8, 4] 		5	1050.0	787.0	None	None	
[9, 4] 		5	1002.0	845.0	None	None	
[10, 4] 		5	978.0	660.0	None	None	
['A', 4] 		5	1074.0	1195.0	None	None	
[2, 5] 		5	1040.0	1089.0	None	None	
[3, 5] 		5	1044.0	1195.0	None	None	
[4, 5] 		5	1070.0	1388.0	1756.0	None	
[5, 5] 		5	970.0	1384.0	1780.0	940.0	
[6, 5] 		5	1034.0	1578.0	2088.0	None	
[7, 5] 		5	890.0	730.0	None	None	
[8, 5] 		5	850.0	563.0	None	None	
[9, 5] 		5	866.0	728.0	None	None	
[10, 5] 		5	794.0	566.0	None	None	
['A', 5] 		5	986.0	1131.0	None	None	
[2, 6] 		5	1136.0	1298.0	None	None	
[3, 6] 		5	1108.0	1442.0	1840.0	None	
[4, 6] 		5	1178.0	1648.0	2306.0	None	
[5, 6] 		5	1002.0	1512.0	2116.0	None	
[6, 6] 		5	1040.0	841.0	None	1101.0	
[7, 6] 		5	940.0	592.0	None	None	
[8, 6] 		5	1018.0	689.0	None	None	
[9, 6] 		5	940.0	496.0	None	None	
[10, 6] 		5	884.0	622.0	None	None	
['A', 6] 		5	1205.0	1341.0	None	None	
[2, 7] 		5	894.0	1237.0	1506.0	None	
[3, 7] 		5	1022.0	1477.0	1926.0	None	
[4, 7] 		5	946.0	1450.0	1946.0	None	
[5, 7] 		5	856.0	759.0	None	None	
[6, 7] 		5	980.0	602.0	None	None	
[7, 7] 		5	846.0	512.0	None	862.0	
[8, 7] 		5	742.0	611.0	None	None	
[9, 7] 		5	820.0	590.0	None	None	
[10, 7] 		5	976.0	622.0	None	None	
['A', 7] 		5	1283.0	1233.0	None	None	
[2, 8] 		5	958.0	1371.0	1824.0	None	
[3, 8] 		5	938.0	1417.0	1830.0	None	
[4, 8] 		5	980.0	809.0	None	None	
[5, 8] 		5	882.0	645.0	None	None	
[6, 8] 		5	944.0	630.0	None	None	
[7, 8] 		5	860.0	668.0	None	None	
[8, 8] 		5	806.0	510.0	None	1057.0	
[9, 8] 		5	910.0	613.0	None	None	
[10, 8] 		5	1206.0	482.0	None	None	
['A', 8] 		5	1564.0	1292.0	None	None	
[2, 9] 		5	1002.0	1446.0	1904.0	None	
[3, 9] 		5	936.0	732.0	None	None	
[4, 9] 		5	964.0	798.0	None	None	
[5, 9] 		5	786.0	653.0	None	None	
[6, 9] 		5	932.0	525.0	None	None	
[7, 9] 		5	826.0	516.0	None	None	
[8, 9] 		5	901.0	584.0	None	None	
[9, 9] 		5	1228.0	464.0	None	1336.0	
[10, 9] 		5	1481.0	393.0	None	None	
['A', 9] 		5	1720.0	1279.0	None	None	
[2, 10] 		5	902.0	873.0	None	None	
[3, 10] 		5	904.0	791.0	None	None	
[4, 10] 		5	936.0	691.0	None	None	
[5, 10] 		5	822.0	567.0	None	None	
[6, 10] 		5	904.0	548.0	None	None	
[7, 10] 		5	987.0	636.0	None	None	
[8, 10] 		5	1231.0	514.0	None	None	
[9, 10] 		5	1479.0	383.0	None	None	
[10, 10] 		5	1675.0	158.0	None	1579.5	
['A', 10] 		5	2500.0	1317.0	None	None	
[2, 'A'] 		5	1002.0	1235.0	None	None	
[3, 'A'] 		5	1076.0	1233.0	None	None	
[4, 'A'] 		5	1082.0	1226.0	None	None	
[5, 'A'] 		5	982.0	1138.0	None	None	
[6, 'A'] 		5	1228.0	1366.0	None	None	
[7, 'A'] 		5	1307.0	1275.0	None	None	
[8, 'A'] 		5	1528.0	1284.0	None	None	
[9, 'A'] 		5	1731.0	1294.0	None	None	
[10, 'A'] 		5	2500.0	1364.0	None	None	
['A', 'A'] 		5	878.0	1124.0	None	2231.5	
[2, 2] 		6	820.0	820.0	None	640.0	
[3, 2] 		6	1016.0	1016.0	None	None	
[4, 2] 		6	1038.0	1060.0	None	None	
[5, 2] 		6	1028.0	1149.0	None	None	
[6, 2] 		6	912.0	1107.0	None	None	
[7, 2] 		6	900.0	1239.0	1526.0	None	
[8, 2] 		6	896.0	1375.0	1738.0	None	
[9, 2] 		6	832.0	1362.0	1734.0	None	
[10, 2] 		6	822.0	845.0	None	None	
['A', 2] 		6	1056.0	1237.0	None	None	
[2, 3] 		6	1024.0	1024.0	None	None	
[3, 3] 		6	926.0	938.0	None	852.0	
[4, 3] 		6	1036.0	1143.0	None	None	
[5, 3] 		6	1028.0	1302.0	None	None	
[6, 3] 		6	992.0	1325.0	1618.0	None	
[7, 3] 		6	936.0	1412.0	1844.0	None	
[8, 3] 		6	854.0	1394.0	1824.0	None	
[9, 3] 		6	836.0	661.0	None	None	
[10, 3] 		6	844.0	810.0	None	None	
['A', 3] 		6	1074.0	1226.0	None	None	
[2, 4] 		6	1072.0	1099.0	None	None	
[3, 4] 		6	1038.0	1151.0	None	None	
[4, 4] 		6	904.0	1129.0	None	808.0	
[5, 4] 		6	1030.0	1477.0	1950.0	None	
[6, 4] 		6	916.0	1416.0	1798.0	None	
[7, 4] 		6	894.0	1494.0	2032.0	None	
[8, 4] 		6	878.0	772.0	None	None	
[9, 4] 		6	872.0	760.0	None	None	
[10, 4] 		6	858.0	652.0	None	None	
['A', 4] 		6	1106.0	1217.0	None	None	
[2, 5] 		6	1042.0	1157.0	None	None	
[3, 5] 		6	1088.0	1330.0	None	None	
[4, 5] 		6	1092.0	1507.0	1938.0	None	
[5, 5] 		6	950.0	1479.0	1886.0	900.0	
[6, 5] 		6	940.0	1513.0	2042.0	None	
[7, 5] 		6	886.0	741.0	None	None	
[8, 5] 		6	890.0	606.0	None	None	
[9, 5] 		6	826.0	627.0	None	None	
[10, 5] 		6	814.0	476.0	None	None	
['A', 5] 		6	1120.0	1267.0	None	None	
[2, 6] 		6	916.0	1130.0	None	None	
[3, 6] 		6	922.0	1286.0	1570.0	None	
[4, 6] 		6	928.0	1431.0	1850.0	None	
