Player		 Dealer	 Stand	 Hit	 Double	 Split	
5 6 		7	944	1023	1044	None	
5 6 		8	944	1028	1032	None	
5 6 		9	936	1011	1018	None	
5 6 		10	940	1002	1008	None	
5 6 		A	922	970	932	None	
5 7 		2	968	963	None	None	
5 7 		3	968	981	None	None	
5 7 		4	970	978	None	None	
5 7 		5	980	967	None	None	
5 7 		6	1000	995	None	None	
5 7 		7	942	977	None	None	
5 7 		8	946	961	None	None	
5 7 		9	948	957	None	None	
5 7 		10	946	956	None	None	
5 7 		A	920	935	None	None	
5 8 		2	962	961	None	None	
5 8 		3	974	966	None	None	
5 8 		4	986	975	None	None	
5 8 		5	996	983	None	None	
5 8 		6	986	975	None	None	
5 8 		7	948	964	None	None	
5 8 		8	940	963	None	None	
5 8 		9	948	960	None	None	
5 8 		10	940	963	None	None	
5 8 		A	926	945	None	None	
5 9 		2	978	961	None	None	
5 9 		3	976	971	None	None	
5 9 		4	978	954	None	None	
5 9 		5	976	956	None	None	
5 9 		6	998	961	None	None	
5 9 		7	960	948	None	None	
5 9 		8	954	963	None	None	
5 9 		9	954	959	None	None	
5 9 		10	940	939	None	None	
5 9 		A	910	924	None	None	
5 10 		2	966	965	None	None	
5 10 		3	968	959	None	None	
5 10 		4	976	964	None	None	
5 10 		5	996	965	None	None	
5 10 		6	978	971	None	None	
5 10 		7	932	962	None	None	
5 10 		8	952	964	None	None	
5 10 		9	942	956	None	None	
5 10 		10	930	942	None	None	
5 10 		A	928	947	None	None	
5 A 		2	972	997	None	None	
5 A 		3	972	989	None	None	
5 A 		4	978	992	None	None	
5 A 		5	990	1002	None	None	
5 A 		6	974	998	None	None	
5 A 		7	972	999	None	None	
5 A 		8	952	989	None	None	
5 A 		9	952	987	None	None	
5 A 		10	950	974	None	None	
5 A 		A	916	945	None	None	
6 2 		2	966	1002	None	None	
6 2 		3	974	996	None	None	
6 2 		4	968	999	None	None	
6 2 		5	998	1017	None	None	
6 2 		6	1008	1035	None	None	
6 2 		7	952	1006	None	None	
6 2 		8	938	976	None	None	
6 2 		9	954	989	None	None	
6 2 		10	954	966	None	None	
6 2 		A	918	951	None	None	
6 3 		2	970	1006	1032	None	
6 3 		3	968	1005	998	None	
6 3 		4	980	1012	1042	None	
6 3 		5	982	1019	1012	None	
6 3 		6	978	1027	1006	None	
6 3 		7	946	1020	994	None	
6 3 		8	940	1023	978	None	
6 3 		9	940	993	960	None	
6 3 		10	940	958	926	None	
6 3 		A	922	959	908	None	
6 4 		2	962	1003	1016	None	
6 4 		3	1000	1028	1072	None	
6 4 		4	988	1017	1076	None	
6 4 		5	982	1034	1058	None	
6 4 		6	994	1042	1084	None	
6 4 		7	958	1030	1034	None	
6 4 		8	944	1010	1002	None	
6 4 		9	938	1016	1016	None	
6 4 		10	956	992	1002	None	
6 4 		A	924	979	940	None	
6 5 		2	980	1039	1064	None	
6 5 		3	976	1029	1024	None	
6 5 		4	972	1019	1058	None	
6 5 		5	968	1014	1046	None	
6 5 		6	992	1043	1076	None	
6 5 		7	934	1021	1050	None	
6 5 		8	958	1030	1064	None	
6 5 		9	938	1015	1036	None	
6 5 		10	948	1002	986	None	
6 5 		A	922	959	932	None	
6 6 		2	976	974	None	989	
6 6 		3	976	966	None	994	
6 6 		4	1000	981	None	1026	
6 6 		5	984	997	None	994	
6 6 		6	986	979	None	997	
6 6 		7	968	986	None	967	
6 6 		8	950	973	None	964	
6 6 		9	952	959	None	951	
6 6 		10	948	957	None	917	
6 6 		A	930	956	None	916	
6 7 		2	972	969	None	None	
6 7 		3	984	973	None	None	
6 7 		4	982	972	None	None	
6 7 		5	980	981	None	None	
6 7 		6	994	976	None	None	
6 7 		7	960	997	None	None	
6 7 		8	948	982	None	None	
6 7 		9	946	949	None	None	
6 7 		10	938	955	None	None	
6 7 		A	918	944	None	None	
6 8 		2	988	964	None	None	
6 8 		3	978	967	None	None	
6 8 		4	982	960	None	None	
6 8 		5	988	984	None	None	
6 8 		6	992	967	None	None	
6 8 		7	952	965	None	None	
6 8 		8	946	964	None	None	
6 8 		9	950	958	None	None	
6 8 		10	942	944	None	None	
6 8 		A	918	936	None	None	
6 9 		2	980	955	None	None	
6 9 		3	990	958	None	None	
6 9 		4	972	968	None	None	
6 9 		5	1002	959	None	None	
6 9 		6	982	979	None	None	
6 9 		7	946	964	None	None	
6 9 		8	956	962	None	None	
6 9 		9	940	939	None	None	
6 9 		10	946	950	None	None	
6 9 		A	924	934	None	None	
6 10 		2	966	954	None	None	
6 10 		3	980	963	None	None	
6 10 		4	962	949	None	None	
6 10 		5	978	949	None	None	
6 10 		6	970	960	None	None	
6 10 		7	962	944	None	None	
6 10 		8	962	958	None	None	
6 10 		9	954	954	None	None	
6 10 		10	934	943	None	None	
6 10 		A	924	934	None	None	
6 A 		2	979	995	None	None	
6 A 		3	970	991	None	None	
6 A 		4	1003	1010	None	None	
6 A 		5	1004	1014	None	None	
6 A 		6	999	1003	None	None	
6 A 		7	993	1012	None	None	
6 A 		8	965	987	None	None	
6 A 		9	954	989	None	None	
6 A 		10	938	944	None	None	
6 A 		A	936	955	None	None	
7 2 		2	966	1017	1000	None	
7 2 		3	978	1007	1014	None	
7 2 		4	978	1019	1038	None	
7 2 		5	976	1016	1018	None	
7 2 		6	982	1019	1026	None	
7 2 		7	960	1028	1052	None	
7 2 		8	940	1013	984	None	
7 2 		9	952	1007	978	None	
7 2 		10	940	971	950	None	
7 2 		A	916	960	908	None	
7 3 		2	968	1033	1044	None	
7 3 		3	986	1034	1042	None	
7 3 		4	968	1011	994	None	
7 3 		5	970	1007	1030	None	
7 3 		6	1000	1024	1086	None	
7 3 		7	960	1033	1054	None	
7 3 		8	944	1015	1048	None	
7 3 		9	960	1030	1012	None	
7 3 		10	950	999	964	None	
7 3 		A	922	995	976	None	
7 4 		2	964	1015	1034	None	
7 4 		3	972	1035	1054	None	
7 4 		4	1008	1036	1078	None	
7 4 		5	976	1027	1064	None	
7 4 		6	984	1035	1060	None	
7 4 		7	940	1024	1010	None	
7 4 		8	950	1024	1056	None	
7 4 		9	936	1009	1016	None	
7 4 		10	942	1008	998	None	
7 4 		A	928	988	988	None	
7 5 		2	984	978	None	None	
7 5 		3	972	974	None	None	
7 5 		4	972	994	None	None	
7 5 		5	992	984	None	None	
7 5 		6	980	991	None	None	
7 5 		7	952	984	None	None	
7 5 		8	960	978	None	None	
7 5 		9	964	962	None	None	
7 5 		10	944	948	None	None	
7 5 		A	924	946	None	None	
7 6 		2	968	968	None	None	
7 6 		3	984	978	None	None	
7 6 		4	984	974	None	None	
7 6 		5	986	977	None	None	
7 6 		6	980	971	None	None	
7 6 		7	968	979	None	None	
7 6 		8	948	972	None	None	
7 6 		9	944	961	None	None	
7 6 		10	940	939	None	None	
7 6 		A	932	941	None	None	
7 7 		2	964	967	None	969	
7 7 		3	968	962	None	971	
7 7 		4	980	957	None	1003	
7 7 		5	996	971	None	1028	
7 7 		6	998	972	None	1025	
7 7 		7	956	975	None	977	
7 7 		8	972	976	None	970	
7 7 		9	944	956	None	946	
7 7 		10	944	945	None	936	
7 7 		A	942	942	None	919	
7 8 		2	968	962	None	None	
7 8 		3	984	962	None	None	
7 8 		4	970	959	None	None	
7 8 		5	974	972	None	None	
7 8 		6	1000	969	None	None	
7 8 		7	954	963	None	None	
7 8 		8	944	949	None	None	
7 8 		9	946	959	None	None	
7 8 		10	928	936	None	None	
7 8 		A	928	925	None	None	
7 9 		2	978	958	None	None	
7 9 		3	966	962	None	None	
7 9 		4	990	937	None	None	
7 9 		5	980	955	None	None	
7 9 		6	982	947	None	None	
7 9 		7	944	951	None	None	
7 9 		8	954	957	None	None	
7 9 		9	942	948	None	None	
7 9 		10	942	937	None	None	
7 9 		A	930	926	None	None	
7 10 		2	977	936	None	None	
7 10 		3	980	947	None	None	
7 10 		4	1007	955	None	None	
7 10 		5	984	959	None	None	
7 10 		6	993	957	None	None	
7 10 		7	996	940	None	None	
7 10 		8	963	939	None	None	
7 10 		9	950	936	None	None	
7 10 		10	940	951	None	None	
7 10 		A	939	926	None	None	
7 A 		2	1001	997	None	None	
7 A 		3	999	996	None	None	
7 A 		4	1018	1011	None	None	
7 A 		5	1014	1012	None	None	
7 A 		6	1013	1011	None	None	
7 A 		7	1026	1021	None	None	
7 A 		8	1007	990	None	None	
7 A 		9	981	987	None	None	
7 A 		10	992	981	None	None	
7 A 		A	952	955	None	None	
8 2 		2	980	1028	1026	None	
8 2 		3	974	1012	1036	None	
8 2 		4	982	1018	1044	None	
8 2 		5	1002	1045	1064	None	
8 2 		6	988	1024	1048	None	
8 2 		7	950	1024	1026	None	
8 2 		8	944	1005	988	None	
8 2 		9	968	1012	1054	None	
8 2 		10	938	984	984	None	
8 2 		A	920	972	934	None	
8 3 		2	982	1040	1054	None	
8 3 		3	992	1036	1042	None	
